area_name,pctdem2016,votes_dem_2016,votes_gop_2016,total_votes_2016,state_abbr,Obama,Romney,population2014,population2010,population_change,age65plus,White,Black,Hispanic,NonEnglish,Edu_highschool,Edu_batchelors,Income,Poverty,Density
San Luis Obispo County,0.507257099,61021,50755,120296,CA,0.490276112,0.480454433,279083,269593,3.5,17.5,0.89,0.022,0.22,18,89.6,31.5,29954,14.3,81.7
San Mateo County,0.763115647,192035,47627,251646,CA,0.713059571,0.265534856,758581,718498,5.6,14.7,0.625,0.03,0.253,46,88.6,44.4,45732,7.6,1602.2
Santa Barbara County,0.609655105,100120,53740,164224,CA,0.572357028,0.401333795,440668,423939,3.9,14,0.859,0.024,0.444,40.2,79.1,31.3,30352,16,155
Santa Clara County,0.73348019,483472,137452,659148,CA,0.69808435,0.277304464,1894605,1781672,6.3,12.2,0.564,0.029,0.266,51.2,86.5,46.5,41513,10.2,1381
Santa Cruz County,0.750469126,85185,20158,113509,CA,0.75166679,0.21074126,271804,262362,3.6,13.5,0.877,0.014,0.332,31,84.9,37,32295,14.6,589.4
Shasta County,0.282148469,20471,47587,72554,CA,0.335987879,0.638587609,179804,177223,1.5,19.2,0.885,0.011,0.094,8.7,88.4,18.8,23670,17.5,46.9
Sierra County,0.333148559,601,1048,1804,CA,0.366498033,0.593591906,3003,3240,-7.3,26.8,0.948,0.004,0.097,9.4,89.4,18.5,24996,19.4,3.4
Siskiyou County,0.358237548,7106,11212,19836,CA,0.406169666,0.562353613,43628,44900,-2.8,22.7,0.872,0.014,0.119,9.7,89,23.9,22293,21,7.2
Solano County,0.620887413,94622,48712,152398,CA,0.629487966,0.349034749,431131,413344,4.3,13.5,0.606,0.148,0.256,29.6,87.2,24.3,28929,13,503
Sonoma County,0.707222967,116027,37421,164060,CA,0.708463736,0.259852735,500292,483880,3.4,16.7,0.874,0.019,0.261,25.5,86.7,32.2,32835,11.9,307.1
Stanislaus County,0.473539941,73939,72960,156141,CA,0.491637655,0.484257067,531997,514451,3.4,12.1,0.841,0.033,0.441,40.7,76.4,16.4,21663,20.3,344.2
Sutter County,0.38880673,11831,16780,30429,CA,0.381360778,0.599199543,95847,94737,1.2,14.5,0.74,0.025,0.299,37,78.3,18.7,23602,16.7,157.3
Tehama County,0.287256831,6571,14981,22875,CA,0.347545517,0.621744642,63067,63461,-0.6,17.8,0.907,0.01,0.241,18.8,81.1,13.5,20439,19.7,21.5
Trinity County,0.397794741,1876,2409,4716,CA,0.470576541,0.481510934,13170,13786,-4.5,24,0.879,0.005,0.073,7.2,91.3,21.3,22905,19.2,4.3
Tulare County,0.403051521,27975,38062,69408,CA,0.400799099,0.579223418,458198,442182,3.6,10.4,0.883,0.022,0.629,49.2,68,13.3,17894,26.2,91.7
Tuolumne County,0.365541922,8580,13486,23472,CA,0.405731142,0.565107459,53831,55365,-2.8,23.5,0.908,0.021,0.115,7.6,89.1,19.5,25943,14.5,24.9
Ventura County,0.553749663,170489,118764,307881,CA,0.515548306,0.462544838,846178,823420,2.8,13.6,0.848,0.022,0.42,37.8,82.8,31.4,32930,11.1,446.7
Yolo County,0.680718251,34460,13178,50623,CA,0.651804137,0.320064415,207590,200850,3.4,11.5,0.759,0.03,0.315,34.7,84.3,37.9,27730,19.1,197.9
Yuba County,0.343527401,7234,12313,21058,CA,0.38756746,0.582717036,73966,72155,2.5,11.4,0.794,0.04,0.272,24.7,79,13.7,19244,21.6,114.2
Adams County,0.493767309,86471,73807,175125,CO,0.562512771,0.411969411,480718,441687,8.8,9.6,0.87,0.037,0.388,28.4,81.4,20.9,24195,14.2,378.2
Alamosa County,0.459330144,3168,3031,6897,CO,0.566931495,0.403687603,16177,15445,4.7,12.6,0.878,0.019,0.455,22.6,84.7,24.2,19487,26.5,21.4
Arapahoe County,0.526755853,148365,109638,281658,CO,0.531639358,0.448415284,618821,572158,8.2,11.9,0.783,0.109,0.188,22.1,91.4,38.8,32595,12.1,716.7
Archuleta County,0.341426612,2489,4234,7290,CO,0.396780018,0.576436955,12244,12084,1.3,22.9,0.927,0.005,0.186,10.7,91.7,32.9,29793,9.7,8.9
Baca County,0.131941149,278,1716,2107,CO,0.220419847,0.741412214,3645,3788,-3.8,25.7,0.944,0.011,0.105,5.2,87.3,17.2,22318,15.2,1.5
Bent County,0.307082452,581,1166,1892,CO,0.413609782,0.559808612,5630,6499,-13.4,16.9,0.865,0.072,0.318,17.8,79.4,8.8,15081,19.1,4.3
Boulder County,0.705661018,124715,38766,176735,CO,0.695612764,0.280161887,313333,294571,6.4,12.2,0.908,0.011,0.138,16.5,93.9,58.3,38011,14.2,405.6
Broomfield County,0.523003588,19530,14272,37342,CO,0.517318505,0.458668572,62138,55860,11.2,12.2,0.888,0.014,0.12,13.8,94.9,47.5,37442,7.1,1691.9
Chaffee County,0.433948541,4773,5283,10999,CO,0.486150533,0.484388764,18363,17809,3.1,23,0.944,0.017,0.102,6.3,91.1,33.9,27182,8,17.6
Cheyenne County,0.11802974,127,905,1076,CO,0.155023923,0.821052632,1871,1836,1.9,18.2,0.963,0.007,0.127,11.4,87,21.3,23647,7.2,1
Clear Creek County,0.467281273,2585,2426,5532,CO,0.542067736,0.424420677,9187,9088,1.1,17.9,0.953,0.009,0.055,4.3,96.6,39.8,41716,10.2,23
Conejos County,0.441561713,1753,1885,3970,CO,0.541345915,0.445492923,8265,8256,0.1,17.4,0.925,0.007,0.541,34.5,82.6,19.1,17316,19.4,6.4
Costilla County,0.609340659,1109,581,1820,CO,0.730044346,0.243902439,3568,3524,1.2,25.8,0.883,0.019,0.643,50.1,76.5,19.5,20742,22.2,2.9
Crowley County,0.222369292,336,1069,1511,CO,0.356191744,0.61517976,5360,5823,-8,13,0.84,0.093,0.303,14.7,75.2,12.3,17187,29.1,7.4
