area_name,pctdem2016,votes_dem_2016,votes_gop_2016,total_votes_2016,state_abbr,Obama,Romney,population2014,population2010,population_change,age65plus,White,Black,Hispanic,NonEnglish,Edu_highschool,Edu_batchelors,Income,Poverty,Density
De Witt County,0.255321998,1907,5072,7469,IL,0.354047424,0.623603162,16284,16561,-1.7,18.1,0.972,0.008,0.023,2,92.6,16.8,26704,14,41.7
Douglas County,0.240573618,1946,5695,8089,IL,0.307516796,0.675751046,19889,19982,-0.5,16.3,0.972,0.006,0.073,19,83.8,16.2,23732,10.3,48
DuPage County,0.538831131,222499,164355,412929,IL,0.497040333,0.486772767,932708,916896,1.7,13.5,0.811,0.052,0.141,26.3,92.1,46.3,38570,6.9,2799.8
Edgar County,0.228446614,1778,5634,7783,IL,0.328169014,0.656209987,17841,18576,-4,20.4,0.982,0.005,0.01,1.8,86,18.2,23368,18.4,29.8
Edwards County,0.130434783,432,2777,3312,IL,0.23379845,0.744806202,6617,6721,-1.5,19.2,0.977,0.006,0.012,1.4,86.8,10.5,20898,11.4,30.2
Effingham County,0.176210695,3071,13613,17428,IL,0.232298885,0.752696595,34320,34242,0.2,16.8,0.98,0.005,0.019,2.2,90.9,20,27051,9.1,71.5
Fayette County,0.190646348,1814,7363,9515,IL,0.317750753,0.663840232,21870,22142,-1.2,17.1,0.936,0.047,0.017,2.7,84.2,13.1,21523,17,30.9
Ford County,0.224200986,1410,4474,6289,IL,0.275666667,0.704166667,13688,14081,-2.8,19.8,0.972,0.01,0.029,2.3,88.6,16.3,25448,10.5,29
Franklin County,0.254195219,4711,13101,18533,IL,0.404952211,0.573081438,39411,39989,-1.4,19.5,0.974,0.005,0.016,2.2,87.1,13.1,20394,19.1,96.8
Fulton County,0.39195336,6118,8482,15609,IL,0.54273978,0.431766317,36007,37069,-2.9,18.9,0.942,0.039,0.027,3.2,86.4,14.5,22318,13.3,42.8
Gallatin County,0.243775548,656,1942,2691,IL,0.400155703,0.580770728,5291,5589,-5.3,22.8,0.973,0.008,0.019,0.4,81.3,12,23862,17.2,17.3
Greene County,0.21688921,1202,4139,5542,IL,0.360349127,0.613822586,13434,13886,-3.3,18.3,0.978,0.011,0.01,1.8,88.6,12.9,22307,13.2,25.6
Grundy County,0.35039972,8021,13417,22891,IL,0.444693644,0.534357702,50425,50063,0.7,12.9,0.96,0.015,0.093,7.4,91.7,20.2,28725,9,119.8
Hamilton County,0.19309679,800,3205,4143,IL,0.321728081,0.652096569,8296,8457,-1.9,20.2,0.979,0.006,0.016,3.8,83.8,15.7,21960,17.1,19.5
Hancock County,0.223074955,1744,5713,7818,IL,0.394458622,0.584518167,18564,19104,-2.8,23.1,0.98,0.004,0.015,2.2,90.6,18.4,23714,13.6,24.1
Hardin County,0.196436943,419,1650,2133,IL,0.318454936,0.658798283,4129,4320,-4.4,23.3,0.967,0.007,0.016,1.1,83.2,12.2,22366,23.6,24.3
Henderson County,0.330747126,1151,2153,3480,IL,0.554869492,0.431658715,6916,7328,-5.6,23.6,0.978,0.004,0.015,2.4,88.4,15.7,25902,11.3,19.3
Henry County,0.364600528,8835,13962,24232,IL,0.507269657,0.476296388,49635,50485,-1.7,18.5,0.959,0.019,0.054,4.4,89.7,19.8,27117,10.5,61.3
Iroquois County,0.193144007,2496,9728,12923,IL,0.266875489,0.713782302,28879,29718,-2.8,20.4,0.967,0.011,0.065,6.3,88.3,14.6,25098,13.7,26.6
Jackson County,0.47407075,11619,10889,24509,IL,0.533553563,0.430863615,59677,60218,-0.9,13,0.777,0.149,0.042,8.7,89.7,35.1,20527,30.4,103.1
Jasper County,0.181034483,924,3973,5104,IL,0.284636761,0.696903533,9623,9698,-0.8,18.2,0.984,0.003,0.014,1.5,91.5,16.2,24174,6.6,19.6
Jefferson County,0.262100131,4408,11681,16818,IL,0.372937496,0.601423051,38534,38825,-0.7,17.6,0.879,0.089,0.023,3.2,86.8,15.9,22620,16.5,68
Jersey County,0.245027042,2673,7737,10909,IL,0.367806841,0.606841046,22571,22985,-1.8,17.6,0.973,0.007,0.013,1.6,88.3,16.2,25467,7.6,62.2
Jo Daviess County,0.398317974,4452,6113,11177,IL,0.496012619,0.484532469,22254,22677,-1.9,24.6,0.977,0.006,0.031,4.2,91.9,23.7,29675,9.5,37.7
Johnson County,0.188632209,1135,4644,6017,IL,0.277267914,0.698729262,12601,12582,0.2,19.3,0.899,0.085,0.033,2.5,83.4,15.1,18763,14.1,36.6
Kane County,0.513638243,99389,82087,193500,IL,0.496212513,0.487401365,527306,515302,2.3,11.7,0.87,0.061,0.313,31.4,82.8,31.7,30082,11.1,990.8
Kankakee County,0.406134548,18908,25081,46556,IL,0.474654581,0.508558479,111375,113449,-1.8,14.9,0.812,0.155,0.099,8.3,86.4,17.1,23779,16.4,167.7
Kendall County,0.460336515,23392,24152,50815,IL,0.471093646,0.512321833,121350,114735,5.8,9,0.876,0.067,0.169,17.3,92.5,34.2,31276,4.8,358.2
Knox County,0.452513203,9939,10658,21964,IL,0.577030688,0.405604654,52069,52919,-1.6,19.6,0.883,0.08,0.056,4.9,85.9,17,22093,16.7,73.9
Lake County,0.572891332,168186,108608,293574,IL,0.533573682,0.452797572,705186,703409,0.3,12.2,0.823,0.075,0.21,27.8,88.9,41.9,38018,9,1585.6
LaSalle County,0.397898735,19277,26269,48447,IL,0.488334111,0.492236881,111241,113922,-2.4,17.6,0.952,0.023,0.089,6.4,88.4,15.9,25709,12.2,100.4
Lawrence County,0.213280344,1288,4517,6039,IL,0.335895722,0.64388369,16519,16903,-2.3,17,0.881,0.101,0.037,7.8,76.1,8.4,14147,13.3,45.2
Lee County,0.361419652,5499,8597,15215,IL,0.453813421,0.526743044,34735,36031,-3.6,17.5,0.921,0.053,0.058,5.1,86.4,16,25409,10.7,49.7
Livingston County,0.265302067,4005,10197,15096,IL,0.333843798,0.648844797,37903,38950,-2.7,17,0.922,0.055,0.045,3.8,86.1,14.5,24952,10.3,37.3
Logan County,0.272135202,3301,8167,12130,IL,0.330148708,0.650909695,29746,30305,-1.8,17.1,0.893,0.081,0.034,4.7,85.8,16.2,21445,13.8,49
Macon County,0.385148996,18211,26782,47283,IL,0.465471257,0.518013212,108350,110768,-2.2,17.9,0.789,0.171,0.021,3.4,88.1,22.3,26232,17.6,190.8
Macoupin County,0.298523833,6532,14194,21881,IL,0.450661193,0.520790567,46453,47765,-2.7,18.7,0.972,0.011,0.01,2.3,89.1,15.9,24658,12.4,55.4
Madison County,0.393551313,50336,70295,127902,IL,0.481272964,0.494922383,266560,269328,-1,15.7,0.885,0.083,0.031,3.3,90.9,24.4,27407,14,376.3
Marion County,0.254879518,4231,11677,16600,IL,0.394837233,0.586787894,38571,39437,-2.2,18.4,0.933,0.041,0.018,2.5,86.7,13.9,21887,18.1,68.9
Marshall County,0.302219211,1784,3776,5903,IL,0.419719274,0.562649777,12014,12640,-5,21.8,0.975,0.005,0.033,3.4,90.8,17,25975,11,32.7
Mason County,0.312140525,2008,4051,6433,IL,0.457110969,0.520567602,13898,14666,-5.2,19.8,0.976,0.005,0.011,1.8,85.4,14.2,23199,16.3,27.2
Massac County,0.234433891,1555,4844,6633,IL,0.32224276,0.65896488,14905,15429,-3.4,20.3,0.913,0.058,0.026,1.9,83.4,16.7,22047,16.3,65
McDonough County,0.408830364,5278,6789,12910,IL,0.478897017,0.493769596,31880,32612,-2.2,14.9,0.903,0.054,0.027,5.9,91.7,33.3,20042,23.1,55.3
McHenry County,0.426893575,59827,71117,140145,IL,0.446825712,0.535133881,307283,308826,-0.5,12.1,0.938,0.014,0.124,14.3,92.1,32.4,32341,7.7,511.9
McLean County,0.454687006,35918,37081,78995,IL,0.434190995,0.544807301,174061,169572,2.6,11.4,0.844,0.077,0.048,7.5,94.4,42.8,30460,14.2,143.3
Menard County,0.281488401,1808,4230,6423,IL,0.341094106,0.642136112,12570,12705,-1.1,18.1,0.97,0.012,0.014,1.6,92.5,22.1,28330,9.8,40.4
Mercer County,0.363668766,3061,4800,8417,IL,0.528211144,0.454428152,15945,16434,-3,20.5,0.981,0.006,0.021,2.1,90.5,14.7,26620,10.1,29.3
Monroe County,0.289504037,5522,12614,19074,IL,0.35646579,0.624978457,33722,32957,2.3,16,0.98,0.004,0.016,3.2,92.8,25.9,31758,5.4,85.6
Montgomery County,0.27203991,3490,8616,12829,IL,0.416914191,0.558663366,29359,30104,-2.5,18.4,0.952,0.034,0.017,2.7,85.1,12.1,19917,14.1,42.8
Morgan County,0.321284316,4693,9060,14607,IL,0.41162675,0.565844645,34929,35551,-1.7,18.3,0.91,0.064,0.023,3,88.1,20.7,24337,14.4,62.5
Moultrie County,0.23771944,1476,4453,6209,IL,0.353932584,0.624752148,14837,14846,-0.1,19,0.982,0.005,0.013,9.6,85,14.1,23786,12.8,44.2
Ogle County,0.337213211,8025,14344,23798,IL,0.407163054,0.574458058,52085,53497,-2.6,17.2,0.967,0.011,0.096,7.2,88.9,19.9,26635,11.3,70.5
Peoria County,0.483263409,37436,35299,77465,IL,0.513066872,0.469087881,187319,186494,0.4,15,0.749,0.181,0.046,7.4,89.9,28.9,28438,17.2,301.2
Perry County,0.250669689,2433,6816,9706,IL,0.39997902,0.576628553,21672,22350,-3,17.3,0.886,0.088,0.031,3,84.5,14.3,19716,18.4,50.6
Piatt County,0.295875941,2633,5623,8899,IL,0.35426009,0.622283546,16431,16727,-1.8,18.1,0.976,0.006,0.011,1.8,92.7,26.5,31190,6.2,38.1
Pike County,0.189326897,1412,5749,7458,IL,0.312852234,0.667079038,16022,16430,-2.5,19.8,0.967,0.019,0.012,2.4,86.1,13.5,21344,16.6,19.8
Pope County,0.175422139,374,1678,2132,IL,0.292474087,0.680937359,4276,4470,-4.3,21.3,0.912,0.067,0.019,3.4,87.6,13.5,20448,17,12.1
Pulaski County,0.330367974,817,1583,2473,IL,0.462845718,0.520493169,5815,6161,-5.6,20.2,0.647,0.323,0.019,2.5,80.2,12,19867,18.8,30.9
Putnam County,0.371586476,1143,1762,3076,IL,0.497445722,0.478927203,5814,6006,-3.2,19.8,0.976,0.009,0.047,4.5,88.8,14.1,27074,14.2,37.5
Randolph County,0.243799886,3421,9992,14032,IL,0.400069541,0.576077886,32869,33476,-1.8,17.2,0.881,0.101,0.028,2.6,82.2,11.8,21976,12.4,58.2
Richland County,0.206946265,1579,5736,7630,IL,0.324443222,0.653010723,16061,16233,-1.1,20,0.972,0.006,0.015,3.7,90.6,20.4,23621,14.2,45.1
Rock Island County,0.512267552,32258,26969,62971,IL,0.6023582,0.383600493,146063,147546,-1,17.6,0.847,0.098,0.124,11.5,87.4,21.8,26455,13.3,345
Saline County,0.227078512,2551,8248,11234,IL,0.345094745,0.635022869,24612,24913,-1.2,19.2,0.929,0.041,0.017,2.3,84.9,14.6,21596,19.1,65.6
Sangamon County,0.422205407,40731,49823,96472,IL,0.446241705,0.533127021,198997,197465,0.8,15.5,0.832,0.124,0.022,5.2,92,32.5,29974,14.2,227.4
Schuyler County,0.283227848,1074,2523,3792,IL,0.444616177,0.5311695,7330,7544,-2.8,19.7,0.954,0.035,0.018,1.8,88.9,18.6,23656,15.9,17.3
Scott County,0.204413473,528,1965,2583,IL,0.356303837,0.620986688,5204,5355,-2.8,18.6,0.981,0.005,0.012,1.1,89.8,13.7,24471,12.3,21.3
Shelby County,0.208852639,2279,8209,10912,IL,0.321294424,0.658480208,22048,22363,-1.4,20.6,0.984,0.004,0.01,1.5,89.8,14.4,23069,11.8,29.5
St. Clair County,0.504861536,60180,53479,119201,IL,0.563858455,0.419077708,265729,270063,-1.6,13.8,0.657,0.302,0.038,4.8,89.5,25.3,26234,17.6,410.6
Stark County,0.27632065,748,1777,2707,IL,0.411499436,0.573844419,5813,5994,-3,24.4,0.975,0.006,0.011,1.6,87.9,16.7,26843,11.1,20.8
Stephenson County,0.385710627,7531,10845,19525,IL,0.46708556,0.513359563,46435,47711,-2.7,20.5,0.868,0.096,0.035,3.6,89.5,17.9,23350,15.9,84.5
Tazewell County,0.324687831,20568,38620,63347,IL,0.400390785,0.579051935,135707,135394,0.2,17,0.962,0.013,0.022,2.9,91.7,23.6,28037,9.1,208.6
Union County,0.280596664,2389,5780,8514,IL,0.378897752,0.598380469,17447,17808,-2,19.9,0.963,0.011,0.051,6,83.9,20.1,21719,19.5,43.1
Vermilion County,0.331420517,9876,18582,29799,IL,0.41192215,0.569265476,79728,81625,-2.3,17.4,0.831,0.135,0.047,4.7,85.7,13.9,21225,19.6,90.9
Wabash County,0.21214365,1146,4039,5402,IL,0.309732787,0.677394188,11549,11947,-3.3,18.9,0.967,0.009,0.015,2.5,89.3,16.8,24096,12.7,53.5
Warren County,0.387402597,2983,4267,7700,IL,0.520733012,0.462814339,17874,17710,0.9,18.4,0.937,0.024,0.094,10,87.8,20.9,21832,15.8,32.6
Washington County,0.196041215,1446,5566,7376,IL,0.330900243,0.647066775,14337,14716,-2.6,18.4,0.977,0.008,0.016,3.1,89.7,20.5,26325,10.2,26.2
Wayne County,0.126937984,1048,6963,8256,IL,0.197238145,0.779572694,16543,16760,-1.3,19.8,0.976,0.006,0.013,2.3,86.4,11.8,22526,14.7,23.5
White County,0.193716559,1412,5639,7289,IL,0.309817255,0.669924919,14374,14665,-2,21.8,0.979,0.006,0.013,1.5,85.4,14.3,25375,15.6,29.6
Whiteside County,0.436533122,11005,12597,25210,IL,0.576633166,0.403685092,56876,58498,-2.8,18.9,0.956,0.017,0.118,6,87.4,16.2,24525,12,85.5
Will County,0.502491323,146230,129726,291010,IL,0.510684479,0.474017653,685419,677560,1.2,11.2,0.806,0.118,0.166,19.9,90.5,32.3,30377,8,809.6
Williamson County,0.271752275,8539,21503,31422,IL,0.365280787,0.614876715,67008,66362,1,17.6,0.927,0.043,0.024,2.9,88.9,22.5,23605,15.6,157.9
Winnebago County,0.465331293,52595,53922,113027,IL,0.51966822,0.462717806,288542,295264,-2.3,15.6,0.814,0.129,0.12,12.4,86.2,21.2,24495,17.5,575.2
Woodford County,0.261385322,5068,13180,19389,IL,0.295203735,0.686916384,39187,38664,1.4,16.3,0.973,0.007,0.018,2.3,93,27.6,30926,8.8,73.3
Adams County,0.21489378,2802,9642,13039,IN,0.29235267,0.687490383,34791,34387,1.2,14.4,0.982,0.004,0.044,16.8,84.3,14.7,20160,18.1,101.4
Allen County,0.378785488,55222,83801,145787,IN,0.408688228,0.576332776,365918,355327,3,13.1,0.809,0.121,0.072,9.7,89,26.3,25279,15.3,540.6
Bartholomew County,0.303837723,9841,20637,32389,IN,0.362364821,0.616893528,80217,76786,4.5,14.9,0.902,0.023,0.064,9.6,89.1,26.5,27359,12.2,188.7
Benton County,0.235358511,860,2579,3654,IN,0.324014537,0.651104277,8700,8854,-1.7,16.2,0.976,0.01,0.054,4.7,88.9,16,23049,11.1,21.8
Blackford County,0.257776856,1243,3349,4822,IN,0.406540084,0.571729958,12401,12766,-2.9,19.8,0.973,0.006,0.016,1.6,86,9.8,20322,16,77.3
Boone County,0.317550919,10181,19654,32061,IN,0.300306583,0.678340848,61915,56638,9.3,12.6,0.944,0.015,0.026,4.4,93.5,41,37482,7.5,133.9
Brown County,0.318411735,2518,5015,7908,IN,0.402635046,0.570487484,14962,15242,-1.8,21.1,0.973,0.006,0.016,3.4,87.1,21.1,25833,14.6,48.9
Carroll County,0.219653851,1891,6273,8609,IN,0.337610676,0.640703195,19923,20155,-1.2,17.7,0.977,0.006,0.041,4.6,87.7,16,24531,10.7,54.1
Cass County,0.265864874,3758,9697,14135,IN,0.379500601,0.596449034,38438,38966,-1.4,16.2,0.937,0.02,0.138,13.4,83.1,13.7,21700,16.5,94.5
Clark County,0.367701158,18791,30012,51104,IN,0.441438953,0.540181038,114262,110232,3.7,14.3,0.889,0.074,0.052,5.2,86.2,18.9,24312,12.2,295.6
Clay County,0.204813927,2306,8528,11259,IN,0.332356711,0.64685955,26562,26887,-1.2,16.6,0.977,0.006,0.013,1.5,86.6,14,21474,15.8,75.2
Clinton County,0.23697041,2819,8530,11896,IN,0.334750481,0.641562911,32776,33224,-1.3,15.8,0.978,0.006,0.149,12.5,84.7,13,21554,13.9,82
Crawford County,0.288172511,1323,3013,4591,IN,0.444832098,0.527256869,10655,10713,-0.5,17.2,0.977,0.005,0.014,1,80.8,12.1,20504,19.6,35.1
Daviess County,0.167660209,1800,8545,10736,IN,0.237848917,0.745461644,32729,31654,3.4,14.5,0.969,0.01,0.046,14.7,77.5,12.4,21416,12.9,73.7
Dearborn County,0.204224174,4883,18110,23910,IN,0.292009664,0.688573729,49506,50047,-1.1,15.3,0.974,0.007,0.012,2.2,89,17.6,27058,9.1,164.1
Decatur County,0.191167192,2121,8488,11095,IN,0.28545084,0.690963797,26524,25740,3,15.4,0.97,0.005,0.018,2.2,87.1,13.7,22046,14.1,69.1
DeKalb County,0.234360133,3941,12054,16816,IN,0.332168689,0.648890523,42383,42223,0.4,14.8,0.975,0.005,0.027,2.8,87.9,16.3,22827,12.4,116.4
Delaware County,0.404930759,18100,24217,44699,IN,0.503739649,0.472598166,117074,117671,-0.5,16,0.892,0.071,0.021,2.9,86.9,22.5,20854,22.3,300.1
Dubois County,0.270572877,5389,13365,19917,IN,0.351741991,0.628519038,42345,41889,1.1,15.9,0.979,0.005,0.067,7.9,86.9,18.9,25589,8.3,98
Elkhart County,0.317041741,20667,41810,65187,IN,0.359697792,0.624896706,201971,197561,2.2,13.3,0.897,0.062,0.151,18.1,80.5,18.2,21109,16.7,426.5
Fayette County,0.236306401,2252,6839,9530,IN,0.403017241,0.572141561,23468,24302,-3.4,18.4,0.969,0.016,0.009,2.3,77.3,8.9,18757,23,112.9
Floyd County,0.374452653,13939,21427,37225,IN,0.419607176,0.563104044,76179,74580,2.1,14.5,0.911,0.055,0.029,4.2,88,22.6,27185,13.3,504.1
Fountain County,0.197484613,1476,5661,7474,IN,0.314374208,0.656060819,16658,17238,-3.4,19.2,0.977,0.004,0.026,2.8,85.5,11.9,23063,11.9,43.6
Franklin County,0.178980892,1967,8665,10990,IN,0.275571144,0.703479003,22934,23087,-0.7,15.6,0.981,0.004,0.011,1.9,85.4,18.1,24085,13.5,60.1
Fulton County,0.234057798,1960,6010,8374,IN,0.322783251,0.65455665,20500,20836,-1.6,17.6,0.965,0.008,0.051,7.5,84.1,12.7,21226,15.5,56.6
Gibson County,0.240434333,3720,11079,15472,IN,0.334828102,0.644584862,33759,33503,0.8,16.5,0.954,0.021,0.016,2,90.1,16.1,24258,11.5,68.7
Grant County,0.278497563,7029,17009,25239,IN,0.379642094,0.599730778,68569,70063,-2.1,17.7,0.891,0.073,0.04,2.9,85.7,16.8,20516,18.6,169.2
Greene County,0.212816973,2929,10275,13763,IN,0.331272422,0.645523243,32726,33164,-1.3,18,0.979,0.003,0.013,1.2,84.6,12.1,22235,14,61.1
Hamilton County,0.372414242,57214,87299,153630,IN,0.320124559,0.663289548,302623,274569,10.2,10.4,0.882,0.041,0.038,9.3,96.3,55.1,39521,5.1,696.4
Hancock County,0.247064701,8901,25050,36027,IN,0.283991697,0.694486843,71978,70045,2.8,15.1,0.952,0.023,0.021,2.2,92.6,26.3,28111,7.6,228.8
Harrison County,0.257772021,4776,12993,18528,IN,0.374022441,0.602346141,39299,39364,-0.2,16,0.975,0.006,0.018,2,87.6,14.9,23244,13.2,81.2
Hendricks County,0.300233862,22595,48326,75258,IN,0.316864394,0.665385193,156056,145412,7.3,12.3,0.894,0.06,0.035,5.7,93.5,32.2,29830,5,357.4
Henry County,0.255242839,5124,13895,20075,IN,0.400768583,0.570435881,48995,49462,-0.9,18,0.954,0.027,0.016,2,85.8,14.9,20309,17,126.2
Howard County,0.305136856,11215,23675,36754,IN,0.417113334,0.56042438,82982,82752,0.3,18,0.886,0.073,0.031,4.2,88.8,20,24071,16.7,282.4
Huntington County,0.219481658,3506,11649,15974,IN,0.291753952,0.689519457,36706,37124,-1.1,15.9,0.972,0.006,0.021,2.3,88.5,16.9,22601,12,97
Jackson County,0.219199179,3843,12857,17532,IN,0.349497126,0.623742816,43705,42380,3.1,15.3,0.959,0.01,0.064,7.1,86.2,14.5,22568,13,83.2
Jasper County,0.249718701,3329,9382,13331,IN,0.362423396,0.6170972,33475,33478,0,15.8,0.973,0.009,0.059,5.3,87.2,14.9,24297,7.7,59.8
Jay County,0.237251947,1889,5697,7962,IN,0.387868811,0.587944789,21179,21253,-0.3,16.5,0.981,0.004,0.03,4.6,84.1,10,19236,14.7,55.4
Jefferson County,0.321298566,4325,8538,13461,IN,0.436585366,0.540853659,32494,32428,0.2,16.3,0.956,0.02,0.025,3.4,83.9,17.8,21524,13.6,89.9
Jennings County,0.21268556,2364,8222,11115,IN,0.372960828,0.597049917,28000,28525,-1.8,14.8,0.975,0.009,0.023,2.8,85.3,9.6,20109,16.7,75.7
Johnson County,0.26148666,17318,45456,66229,IN,0.297758098,0.682263519,147538,139867,5.5,13.8,0.937,0.019,0.034,5.7,91,26.8,28575,10.6,435.8
Knox County,0.243622037,3772,11077,15483,IN,0.345196434,0.634664906,37938,38440,-1.3,16.7,0.945,0.031,0.018,2.1,86.2,14.1,21047,14,74.5
Kosciusko County,0.197793588,6311,23909,31907,IN,0.228436366,0.750790639,78564,77356,1.6,15,0.961,0.011,0.08,10.6,85.8,20.3,24881,11.9,145.6
LaGrange County,0.217755444,2080,7025,9552,IN,0.311137364,0.668778864,38436,37130,3.5,12.6,0.982,0.005,0.039,40,62.1,10.3,19356,16.5,97.8
Lake County,0.583759058,116896,75565,200247,IN,0.648774101,0.339190074,490228,496031,-1.2,14.6,0.709,0.253,0.181,14.5,87,19.8,23918,17.8,994.1
LaPorte County,0.439947549,19795,22678,44994,IN,0.552122226,0.426254667,111444,111467,0,15.8,0.855,0.114,0.061,5.3,86.5,17.3,22852,16.5,186.3
Lawrence County,0.220696163,4210,14034,19076,IN,0.324262148,0.652115363,45704,46129,-0.9,18.2,0.973,0.005,0.016,2.7,84.1,13.7,22169,15.2,102.7
Madison County,0.346533731,18595,32376,53660,IN,0.466259075,0.51117692,130069,131636,-1.2,16.9,0.887,0.085,0.037,3.2,87,16.7,21527,17.3,291.3
Marion County,0.58901598,212676,130228,361070,IN,0.602311702,0.380525234,934243,903389,3.4,11.3,0.663,0.278,0.098,12.4,84.5,27.4,24124,20.4,2279.6
Marshall County,0.266437139,4798,12286,18008,IN,0.345670666,0.63433046,47107,47051,0.1,16.1,0.969,0.009,0.094,10.8,84.4,16.6,21933,15.2,106.1
Martin County,0.183274392,881,3695,4807,IN,0.284900886,0.687895403,10203,10378,-1.7,17.1,0.982,0.002,0.008,2.4,82.9,10.8,22817,14.6,30.8
Miami County,0.205803571,2766,9975,13440,IN,0.330772848,0.63983383,35954,36903,-2.6,15.9,0.92,0.048,0.028,4.7,83.3,10.6,20475,17.2,98.7
Monroe County,0.593217986,34183,20527,57623,IN,0.569278607,0.404328358,143339,137959,3.9,11.4,0.873,0.035,0.033,9.9,91.9,43.4,23032,25.1,349.7
Montgomery County,0.222634263,3362,11051,15101,IN,0.29576974,0.680744303,38146,38126,0.1,16.6,0.966,0.01,0.045,4.6,87.8,17.8,22679,16.8,75.6
Morgan County,0.193617704,6037,23671,31180,IN,0.28207851,0.693462178,69693,68939,1.1,15.1,0.975,0.005,0.014,2.2,87.4,16.1,25781,11.5,170.5
Newton County,0.242272492,1403,4074,5791,IN,0.391365888,0.582271762,14156,14244,-0.6,17.7,0.974,0.007,0.059,3,85.4,8.5,25594,11.2,35.5
Noble County,0.231142688,3904,12198,16890,IN,0.321903472,0.657473529,47618,47536,0.2,14.6,0.973,0.008,0.101,12,83.3,13.2,21889,14.2,115.7
Ohio County,0.235173123,686,2118,2917,IN,0.352773826,0.624822191,6035,6128,-1.5,19.6,0.981,0.005,0.012,1.5,85.4,13.1,25443,8.3,71.1
Orange County,0.250091586,2048,5800,8189,IN,0.379079066,0.59525345,19626,19840,-1.1,17.5,0.969,0.011,0.013,1.6,80.4,12.6,18576,17.9,49.8
Owen County,0.228403756,1946,6151,8520,IN,0.34821759,0.624398668,20969,21583,-2.8,17.3,0.975,0.005,0.013,2.5,83.2,11,21318,14,56
Parke County,0.21913017,1441,4863,6576,IN,0.323800738,0.650061501,17233,17354,-0.7,17.1,0.959,0.026,0.013,6.3,82.8,13.7,20534,13.3,39
Perry County,0.381557632,3062,4556,8025,IN,0.548436308,0.432621409,19454,19338,0.6,16.6,0.955,0.029,0.013,2.2,84,10.9,20934,10.9,50.7
Pike County,0.216998494,1297,4398,5977,IN,0.358710331,0.612255233,12624,12844,-1.7,19,0.981,0.006,0.013,0.9,85.8,11.2,22245,12.7,38.4
Porter County,0.438359567,33531,38719,76492,IN,0.509746575,0.471767351,167076,164347,1.7,14.4,0.928,0.038,0.095,6.6,91.4,25.4,28669,10.4,393
Posey County,0.282374679,3515,8393,12448,IN,0.370907007,0.60797315,25540,25910,-1.4,16.2,0.973,0.01,0.011,2.8,92.1,20.5,29187,9.9,63.3
Pulaski County,0.24406842,1327,3854,5437,IN,0.351731802,0.623448787,12967,13402,-3.2,17.8,0.972,0.009,0.029,2,85.3,13.1,21641,14,30.9
Putnam County,0.228610354,3356,10637,14680,IN,0.326069645,0.651849707,37618,37952,-0.9,15.2,0.933,0.042,0.019,3.6,85.9,16.2,21520,9.7,79
Randolph County,0.23393267,2446,7515,10456,IN,0.369846879,0.610325874,25384,26171,-3,18.6,0.974,0.007,0.032,2.7,85.2,12.4,21592,17.4,57.9
Ripley County,0.193197811,2471,9806,12790,IN,0.295119286,0.681478783,28497,28818,-1.1,16.9,0.976,0.004,0.017,2.5,86.3,15.9,22059,9.4,64.6
Rush County,0.211394511,1525,5292,7214,IN,0.316111586,0.659407913,16892,17392,-2.9,17.4,0.974,0.01,0.014,2.2,87.1,15.1,23396,15.4,42.6
Scott County,0.291611479,2642,6074,9060,IN,0.45869665,0.520766407,23712,24181,-1.9,15.8,0.977,0.004,0.018,2,78.7,11.5,20481,19,127
Shelby County,0.236799554,4247,12718,17935,IN,0.319954608,0.655318641,44579,44393,0.4,15.6,0.964,0.012,0.039,4.4,85.6,14.8,24459,12.9,108.1
Spencer County,0.287277839,2861,6572,9959,IN,0.413984576,0.567095116,20801,20952,-0.7,18,0.976,0.008,0.028,3.8,86.5,15.5,23641,12.6,52.8
St. Joseph County,0.477350802,52247,52019,109452,IN,0.510267163,0.475172626,267618,266929,0.3,14.3,0.811,0.132,0.082,9.6,87.8,26.5,23509,17.7,583
Starke County,0.269781054,2489,6367,9226,IN,0.435214808,0.541361974,23074,23363,-1.2,16.8,0.976,0.004,0.034,3.2,82.2,12.3,19773,16.9,75.6
Steuben County,0.257467309,3741,10127,14530,IN,0.354317467,0.624552168,34308,34183,0.4,17.2,0.972,0.009,0.032,3.7,88.7,19.4,23975,11.5,110.7
Sullivan County,0.246874635,2113,6138,8559,IN,0.38496803,0.591386174,21050,21475,-2,16.3,0.935,0.047,0.018,1.8,85.3,13.2,19821,17.9,48
Switzerland County,0.255564716,930,2558,3639,IN,0.423020312,0.551074477,10452,10613,-1.5,16.3,0.977,0.008,0.017,5,82.5,9.9,20019,22.2,48.1
Tippecanoe County,0.439417921,27207,30711,61916,IN,0.469909694,0.506349654,183074,172780,6,10.3,0.854,0.049,0.08,14.4,90.7,35.7,23691,21.6,345.7
Tipton County,0.211318242,1587,5589,7510,IN,0.330255296,0.648153178,15415,15936,-3.3,19.3,0.98,0.005,0.026,3.2,88.7,16.4,25093,9.4,61.2
Union County,0.217589775,715,2445,3286,IN,0.328493062,0.652468538,7246,7516,-3.6,16.9,0.973,0.007,0.014,1.8,85.4,18.4,20883,12.7,46.6
Vanderburgh County,0.393234849,28296,40422,71957,IN,0.437182391,0.545514803,182006,179703,1.3,15.2,0.865,0.094,0.025,4,89.2,22.6,24378,15.9,769.7
